Fecha;Fondo;Ticker;Accion;Porcentaje;Modif_porc;Peso_absoluto;Precio;Banco;CNMV
01-09-2024;BOLSAESPANA;TEF.MC;TELEFONICA EUR 687 1,44 746 1,56;1.62;0.004169732646553924;0.006754966887417357;4.094;IBERCAJA;NOSE
01-09-2024;BOLSAESPANA;LOG.MC;LOGISTA EUR 254 0,53 -- --;1.61;0.01459854014598548;0.023503649635036625;27.8;IBERCAJA;NOSE
01-09-2024;BOLSAESPANA;DOM.MC;GLOBAL DOMINION EUR 1.119 2,35 978 2,04;1.58;0.017211703958692003;0.027194492254733367;2.955;IBERCAJA;NOSE
01-09-2024;BOLSAESPANA;TUB.MC;TUBACEX EUR 630 1,48 154 0,35;1.48;-0.0050847457627119065;-0.007525423728813621;2.935;IBERCAJA;NOSE
01-09-2024;BOLSAESPANA;IAG.MC;INTERNATIONAL CONSOL EUR 2.166 3,64 1.728 2,59;1.46;-0.001379944802207964;-0.0020147194112236275;2.171;IBERCAJA;NOSE
01-09-2024;BOLSAESPANA;MRL.MC;MERLIN PROPERTIES EUR 549 1,15 490 1,03;1.42;0.021178637200736688;0.030073664825046094;11.09;IBERCAJA;NOSE
01-09-2024;BOLSAESPANA;CIE.MC;CIE AUTOMOTIVE EUR 1.455 2,44 815 1,22;1.39;0.0018450184501843968;0.0025645756457563116;27.15;IBERCAJA;NOSE
01-09-2024;BOLSAESPANA;IDR.MC;INDRA EUR 639 1,53 -- --;1.32;-0.0011806375442738827;-0.0015584415584415253;16.92;IBERCAJA;NOSE
01-09-2024;BOLSAESPANA;SCYR.MC;SACYR EUR 733 1,54 679 1,42;1.32;0.004329004329004402;0.0057142857142858106;3.248;IBERCAJA;NOSE
01-09-2024;BOLSAESPANA;ROVI.MC;LABORATORIOS FARMA EUR 508 1,36 672 1,62;1.27;0.015964240102171137;0.020274584929757346;79.55;IBERCAJA;NOSE
01-09-2024;BOLSAESPANA;COL.MC;COLONIAL EUR 1.032 2,16 1.003 2,10;1.23;0.030881017257039043;0.03798365122615802;5.675;IBERCAJA;NOSE
01-09-2024;BOLSAESPANA;TLGO.MC;TALGO S.A. EUR 503 1,05 486 1,02;1.04;-0.013941698352344668;-0.014499366286438456;3.89;IBERCAJA;NOSE
01-09-2024;BOLSAESPANA;MCM.MC;MIQUEL Y COSTAS EUR 993 2,08 949 1,99;0.97;0.0040000000000000565;0.003880000000000055;12.55;IBERCAJA;NOSE
01-09-2024;BOLSAESPANA;ALM.MC;LABORATORS ALMIRALL EUR 337 0,79 -- --;0.79;0.009148084619782742;0.007226986849628366;8.825;IBERCAJA;NOSE
01-09-2024;BOLSAESPANA;GEST.MC;GESTAMP AUTOMOCION, EUR 246 0,58 -- --;0.58;0.00764818355640519;0.00443594646271501;2.635;IBERCAJA;NOSE
01-09-2024;BOLSAESPANA;GRE.MC;GRENERGY RENOVABLES EUR 137 0,32 113 0,26;0.32;0.0030211480362538194;0.0009667673716012222;33.2;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;ROG.SW;ROCHE HOLDINGS CHF 2.350 2,69 -- --;4.28;0.006306937631394574;0.02699369306236878;287.2;IBERCAJA;NOSE
